1,FJGP,HD0U,WIOV,3QGH,1488207295,N/A,1975/7/1,1976/12/21,5DA3,1953/7/9,340,P9XM,1057997358,5AB6,P180574312,AQV1,1944/4/20,IC06,DHWM,20K8,6AG8,CWXF,WBLO,UO9B,28,3,2,975641460,402375549,701868399,255309977,8K6CYOR8L81N,N/A,Yes,No,No,Normal,N/A,949,90,1039
2,YCX3,7M7G,A575,AWIV,1766531192,N/A,1987/9/1,1986/11/20,LBOU,1954/9/11,121,CBOV,1834308424,SDWA,M151005268,16HP,1933/4/9,IC10,C62A,XRZF,DE01,C379,9FTL,MHPP,28,3,2,918888579,628038747,171804859,443310821,TFTDEYO1G45A,N/A,Yes,No,No,Normal,N/A,943,94,1037
3,A2TA,3G3P,IDA5,GGDW,1017662110,N/A,1915/12/1,1911/12/5,7RO2,2011/2/6,204,BSGW,1097137208,50L4,X126398454,5PDH,1958/7/24,IC04,USSR,45FO,W7WO,1VTV,AQCL,VT9J,28,3,2,939080139,751841459,739504569,183292283,CIKJN3HMFCAD,N/A,Yes,No,No,Normal,N/A,937,92,1029
4,UPXE,RKBI,VMVO,O990,1021425616,N/A,1931/4/1,1920/9/6,IJ6A,1917/9/15,504,0FHL,1258337218,9NBV,Q223713165,LU9V,1976/12/2,IC30,Q7MF,BXY2,DENR,TKEE,YNVI,EZTD,28,3,2,992738191,549037604,151494256,462054776,LV1LUT0CLDBH,N/A,Yes,No,No,Normal,N/A,961,91,1052
5,YXFX,6MHX,54C1,8CX0,1031006476,N/A,1959/2/1,1936/4/21,1Q3L,1981/12/12,882,SZNS,1171447138,9VTV,H176680245,JAB4,1967/3/20,IC06,283T,JEZT,Q9R6,BK12,84QV,353N,28,3,2,941081449,618421647,191743937,654120196,QC2DKD0JQCP1,N/A,Yes,No,No,Normal,N/A,962,99,1061
6,K9D3,FM08,X2L0,50ED,1960855024,N/A,1925/3/1,1992/10/4,29Z8,1970/3/26,125,259N,1296434355,PUWT,X255768955,8U99,1936/7/27,IC05,OPM7,5.00E+57,2ULS,B0V0,4UL2,HLLQ,28,3,2,977490780,731839944,234429229,304822006,ITX0NB4KEG6I,N/A,Yes,No,No,Normal,N/A,951,96,1047
7,OQVM,W53E,YJPE,BZV2,1164314714,N/A,1989/9/1,1964/11/14,QDM2,1975/10/20,144,XIRV,1679534508,H3ZZ,P248510918,TIH4,1987/8/24,IC23,EPZZ,09R4,828B,2RZE,R5B2,J1AT,28,3,2,935222526,662366199,351240199,903521288,KWZ4PBKGIKF9,N/A,Yes,No,No,Normal,N/A,956,94,1050
8,4OXH,CDZP,KATS,M11S,1578683105,N/A,1961/5/1,1979/3/31,MXS2,2001/7/25,363,TBOX,1236906984,SBYD,A180367032,IFFB,1946/7/16,IC14,Z8HV,IKNS,F1KM,LF6W,8IS2,9.20E+03,28,3,2,992140461,429419426,982613169,866403901,V3DDLOT7QZC3,N/A,Yes,No,No,Normal,N/A,993,96,1089
9,Q4ZV,L8I5,WAGL,8HCK,1382860439,N/A,1931/7/1,1976/2/24,78XR,1911/8/5,992,VY1Y,1042533586,S7LG,O281930396,2HYI,1955/9/5,IC24,OZUR,PSZQ,246R,IJY3,EYTD,NA5R,28,3,2,991909775,211724926,349416817,116875124,0JWPJJ4TUXOK,N/A,Yes,No,No,Normal,N/A,929,93,1022
10,J2QI,WFY8,A9MG,YTL0,1915180881,N/A,1927/5/1,2010/12/27,5IIO,1918/5/19,826,PZGV,1126073993,2HPP,T175669353,3UZY,1975/10/10,IC27,P50V,BYWT,8I23,CVPF,2WP3,7HV7,28,3,2,988711570,464596306,344700028,751915448,KBE9W8TGV94A,N/A,Yes,No,No,Normal,N/A,958,93,1051
11,PD9H,D5PF,V021,D94O,1535916487,N/A,2003/3/1,2005/6/17,JLOM,1956/12/5,924,03SN,1532546842,86LL,J277843711,4MP3,1938/10/14,IC18,8DWF,C1TN,OBFV,G9SJ,R7TB,NKET,28,3,2,960896618,293410139,792855068,609443848,BB0FVJWW2UD5,N/A,Yes,No,No,Normal,N/A,971,90,1061
12,4C8Y,OML2,YDTW,6UW6,1593568181,N/A,1962/5/1,1968/2/3,SUQZ,2015/5/3,382,7EYK,1627542833,M5UP,Y244564011,B8XH,1930/12/16,IC14,L8GG,QSKL,7B68,LJ1Y,NS49,GM9G,28,3,2,956985773,218978644,541504865,279611699,V49O8MIY8DRW,N/A,Yes,No,No,Normal,N/A,929,99,1028
13,G8NG,A2ZA,UFKI,O95T,1854253861,N/A,1976/12/1,1963/4/22,X7HP,1966/8/2,665,8FLB,1674017417,346A,Z181811631,SHBT,1985/11/27,IC02,OQC7,HUCX,0SAN,RCIY,3677,PSY8,28,3,2,964597851,262457744,213266117,444721318,FUMCLB63U7X8,N/A,Yes,No,No,Normal,N/A,937,99,1036
14,ADDX,W0RI,X1E1,IV26,1945443005,N/A,1964/6/1,2000/11/30,VZHS,1930/11/28,7,WAIE,1627450181,XXUR,R153611503,ZWX0,1922/12/25,IC16,XTX0,0JAR,NTIR,BRRL,F1NU,K9JC,28,3,2,956552275,353339034,162791742,877909325,9QWGOX4US2YE,N/A,Yes,No,No,Normal,N/A,900,100,1000
15,20MH,RZ4M,ZDE2,P3T9,1877138165,N/A,2006/3/1,1977/2/28,4QVU,2015/8/3,435,73Z8,1937204940,EI0J,T289586829,6JE0,1953/7/25,IC06,MCHS,KJ5D,QJ2C,TR8D,FKU9,F9SY,28,3,2,936703072,739166719,819398750,633167313,WLENW6CI6ERZ,N/A,Yes,No,No,Normal,N/A,999,94,1093
